ZipCode,WaterUse,PowerUse,Date
90009,0,229,2010
90009,0,442,2010
90009,0,332,2010
90009,0,366,2010
90009,0,353,2010
90009,0,344,2010
90009,0,333,2010
90009,0,359,2010
90009,0,359,2011
90009,0,296,2011
90009,0,328,2011
90009,0,286,2011
90009,0,284,2011
90009,0,291,2011
90009,0,310,2011
90009,0,316,2011
90009,0,310,2011
90009,0,288,2011
90009,0,278,2011
90009,0,292,2011
90009,0,295,2012
90009,0,238,2012
90009,0,238,2012
90009,0,241,2012
90009,0,256,2012
90009,0,252,2012
90009,0,266,2012
90009,0,388,2012
90009,0,361,2012
90009,0,267,2012
90009,0,265,2012
90009,0,263,2013
90009,0,259,2013
90009,0,199,2013
90009,0,190,2013
90009,0,184,2013
90009,0,192,2013
90009,0,260,2013
90010,154.39,498,2005
90010,156.81,507,2005
90010,152.4,452,2005
90010,148.07,448,2005
90010,132.9,451,2005
90010,129.24,480,2005
90010,131.13,487,2006
90010,123.2,442,2006
90010,130.27,468,2006
90010,120.45,431,2006
90010,135.02,457,2006
90010,137.02,470,2006
90010,147.63,291,2006
90010,158.65,288,2006
90010,153.63,239,2006
90010,148.82,244,2006
90010,136.68,248,2006
90010,128.5,268,2006
90010,128.12,274,2007
90010,121.34,241,2007
90010,134.95,239,2007
90010,127.89,218,2007
90010,133.32,223,2007
90010,137.36,228,2007
90010,151.49,322,2007
90010,144.57,359,2007
90010,143.72,305,2007
90010,142.49,317,2007
90010,133.02,307,2007
90010,111.89,332,2007
90010,118.1,350,2008
90010,104.56,331,2008
90010,126.59,328,2008
90010,122.16,305,2008
90010,128.44,346,2008
90010,121.34,349,2008
90010,151.19,385,2008
90010,144.58,395,2008
90010,143.88,371,2008
90010,142.75,380,2008
90010,133.29,370,2008
90010,111.98,389,2008
90010,117.49,378,2009
90010,103.55,335,2009
90010,124.41,352,2009
90010,120.29,329,2009
90010,126.47,331,2009
90010,119.72,328,2009
90010,140.63,415,2009
90010,142.83,444,2009
90010,139.36,400,2009
90010,128.18,394,2009
90010,116.16,376,2009
90010,113.61,395,2009
90010,110.21,393,2010
90010,96.83,355,2010
90010,112.8,365,2010
90010,106.81,335,2010
90010,113.03,337,2010
90010,108.15,333,2010
90010,125.67,390,2010
90010,128.51,400,2010
90010,125.44,376,2010
90010,127.35,391,2010
90010,116.12,403,2010
90010,107.54,431,2010
90010,116.63,435,2011
90010,116.22,388,2011
90010,123.02,387,2011
90010,114.09,359,2011
90010,121.69,355,2011
90010,118.82,345,2011
90010,132.84,388,2011
90010,129.52,397,2011
90010,129.63,374,2011
90010,126.65,388,2011
90010,114.39,397,2011
90010,113.17,419,2011
90010,110.53,409,2012
90010,104.68,375,2012
90010,113.07,376,2012
90010,111.23,352,2012
90010,122.84,355,2012
90010,121.41,349,2012
90010,11.5,426,2012
90010,11.5,447,2012
90010,12.25,421,2012
90010,12.75,424,2012
90010,11.25,393,2012
90010,11.25,425,2013
90010,7.25,437,2013
90010,6.25,378,2013
90010,7.25,350,2013
90010,7,321,2013
90010,7,357,2013
90010,7.25,354,2013
90011,26.88,309,2005
90011,26.83,313,2005
90011,24.45,282,2005
90011,24.55,291,2005
90011,22.43,307,2005
90011,22.87,319,2005
90011,22.8,313,2006
90011,20.71,281,2006
90011,22.54,301,2006
90011,21.51,288,2006
90011,25,297,2006
90011,24.61,288,2006
90011,27.56,340,2006
90011,27.66,345,2006
90011,24.29,286,2006
90011,24.79,292,2006
90011,22.79,319,2006
90011,23.06,333,2006
90011,22.5,337,2007
90011,20.24,305,2007
90011,23.43,298,2007
90011,22.81,281,2007
90011,24.77,290,2007
90011,24.46,281,2007
90011,26.26,332,2007
90011,26.27,335,2007
90011,23.96,293,2007
90011,24.27,301,2007
90011,21.87,320,2007
90011,21.74,334,2007
90011,21.26,338,2008
90011,19.52,317,2008
90011,22.45,298,2008
90011,22.24,280,2008
90011,23.24,299,2008
90011,22.39,291,2008
90011,25.3,334,2008
90011,25.35,337,2008
90011,23.49,301,2008
90011,23.7,309,2008
90011,21.74,324,2008
90011,21.61,338,2008
90011,21.39,324,2009
90011,19.15,290,2009
90011,22,297,2009
90011,21.61,280,2009
90011,22.72,286,2009
90011,22.05,276,2009
90011,24.15,325,2009
90011,23.78,332,2009
90011,21.97,299,2009
90011,21.85,307,2009
90011,20.56,315,2009
90011,20.51,329,2009
90011,19.79,322,2010
90011,17.66,290,2010
90011,19.96,286,2010
90011,19.56,267,2010
90011,21.43,279,2010
90011,21.03,270,2010
90011,22.72,304,2010
90011,22.93,307,2010
90011,21.02,284,2010
90011,21.17,292,2010
90011,19.19,321,2010
90011,19.37,336,2010
90011,19.58,322,2011
90011,17.51,288,2011
90011,19.89,295,2011
90011,19.42,278,2011
90011,21.11,283,2011
90011,20.76,274,2011
90011,22.54,306,2011
90011,22.23,309,2011
90011,20.8,282,2011
90011,21.27,291,2011
90011,19.18,320,2011
90011,19.65,333,2011
90011,19.58,314,2012
90011,18.6,289,2012
90011,20.22,290,2012
90011,19.78,277,2012
90011,21.61,278,2012
90011,21.56,269,2012
90011,12.55,318,2012
90011,12.6,323,2012
90011,11.66,310,2012
90011,12.03,320,2012
90011,10.08,317,2012
90011,10.35,328,2013
90011,10.46,330,2013
90011,9.45,299,2013
90011,10.87,280,2013
90011,10.68,260,2013
90011,11.81,285,2013
90011,11.42,276,2013
90012,130.64,307,2005
90012,133.54,308,2005
90012,127.61,281,2005
90012,124.92,290,2005
90012,113.42,270,2005
90012,114.46,279,2005
90012,111.22,285,2006
90012,101.35,258,2006
90012,111.01,283,2006
90012,103.93,274,2006
90012,117.62,294,2006
90012,118.56,295,2006
90012,136.48,362,2006
90012,135.25,351,2006
90012,122.38,279,2006
90012,120.06,287,2006
90012,112.78,273,2006
90012,112.19,286,2006
90012,111.76,298,2007
90012,103.86,269,2007
90012,119.35,273,2007
90012,114.62,264,2007
90012,118.87,272,2007
90012,121.18,274,2007
90012,122.63,314,2007
90012,125.1,314,2007
90012,121.06,281,2007
90012,116.37,285,2007
90012,105.88,258,2007
90012,95.69,269,2007
90012,97.4,286,2008
90012,86.46,272,2008
90012,100.57,261,2008
90012,98.11,257,2008
90012,110.21,302,2008
90012,102.96,297,2008
90012,123.1,324,2008
90012,125.33,326,2008
90012,120.52,307,2008
90012,115.71,312,2008
90012,104.65,277,2008
90012,94.71,286,2008
90012,96.39,279,2009
90012,84.98,251,2009
90012,99.89,258,2009
90012,97.4,249,2009
90012,109.38,265,2009
90012,101.82,261,2009
90012,116.45,307,2009
90012,117.9,313,2009
90012,115.29,322,2009
90012,107.08,324,2009
90012,100.34,268,2009
90012,88.8,277,2009
90012,92.63,273,2010
90012,85.01,246,2010
90012,91.78,251,2010
90012,90.52,244,2010
90012,101.63,257,2010
90012,101.09,252,2010
90012,110.84,295,2010
90012,116.72,296,2010
90012,111.56,282,2010
90012,107.68,290,2010
90012,99.51,270,2010
90012,96.7,278,2010
90012,98.4,281,2011
90012,87.26,254,2011
90012,96.52,261,2011
90012,92.61,252,2011
90012,107.18,258,2011
90012,101.08,257,2011
90012,111.23,309,2011
90012,105.87,309,2011
90012,105.58,287,2011
90012,102.4,293,2011
90012,95.41,267,2011
90012,92.74,276,2011
90012,96.24,268,2012
90012,90.89,250,2012
90012,99.64,262,2012
90012,97.63,254,2012
90012,108.08,263,2012
90012,107.56,264,2012
90012,9.8,329,2012
90012,9.84,336,2012
90012,8.84,338,2012
90012,8.75,334,2012
90012,7.29,261,2012
90012,7.5,271,2013
90012,7.42,285,2013
90012,6.53,257,2013
90012,7.92,249,2013
90012,7.79,242,2013
90012,8.83,273,2013
90012,8.42,266,2013
90013,62.82,308,2005
90013,65.27,298,2005
90013,60.73,257,2005
90013,60.77,258,2005
90013,58.63,216,2005
90013,60.02,225,2005
90013,56.22,236,2006
90013,51.35,215,2006
90013,58.14,245,2006
90013,54.6,240,2006
90013,59.47,281,2006
90013,60.16,290,2006
90013,60.94,384,2006
90013,64.57,370,2006
90013,59.42,282,2006
90013,62.11,283,2006
90013,58.26,245,2006
90013,60.13,257,2006
90013,55.87,284,2007
90013,50.94,256,2007
90013,59.32,253,2007
90013,60.41,248,2007
90013,60.63,270,2007
